dataset,raw_index,algorithm_raw,algo_row,input_kind,algorithm,source_orig_parsed_n_params,source_before_nodes,n_rank,after_params,rank_gap,source_orig_parsed_expr,rendered,status,runtime_ms,peak_rss_mb,passes,egraph_total_size,legacy_conclusion_kind,legacy_new_rule_family,legacy_proposed_rule,legacy_proof_summary,legacy_remaining_gap_notes,agent_status,agent_id,conclusion_kind,new_rule_family,proposed_rule,proof_summary,domain_notes,remaining_gap_notes
pagie,25,Bingo,25,sympy,Bingo,3.0,18.0,2.0,3.0,1.0,exp(2.377396411352944 * (log(x0 * x1) + 0.3582973557925481) / (log(x0) + 8.605174590777912)),exp(2.377396411352944 * (log(x0 * x1) + 0.3582973557925481) / (log(x0) + 8.605174590777912)),saturated,378.70466598542407,128.546875,1.0,5400.0,needs_many_params_or_rank_artifact,no_rank_reducing_rule,none,"Current rules do not reduce 3->2. Even splitting log(x0*x1) or exp/additive forms leaves A, B, C generically independent in exp(A*(u+v+B)/(u+C)).",Likely rank/counting or finite-data artifact rather than rewrite-budget miss.,done,seeded_from_legacy,needs_many_params_or_rank_artifact,no_rank_reducing_rule,none,"Current rules do not reduce 3->2. Even splitting log(x0*x1) or exp/additive forms leaves A, B, C generically independent in exp(A*(u+v+B)/(u+C)).","Requires x0>0, x1>0, log(x0)+C != 0 for the independence argument; no globally sound 2-param rewrite identified.",Likely rank/counting or finite-data artifact rather than rewrite-budget miss.
pagie,25,Bingo,25,original,Bingo,4.0,16.0,2.0,3.0,1.0,exp(-2.377396411352944 * ((-10.503285479940024 - log(abs(0.14985143797609368 * x0))) ** (-1.0) * log(abs(1.4308910409656768 * (x0 * x1))))),exp(-2.377396411352944 * ((-8.605174590777912 - log(abs(x0))) ** (-1.0) * log(abs(1.4308910409656768 * (x0 * x1))))),saturated,560.2012500166893,126.609375,2.0,4535.0,new_rule_partial_reduction,log_abs_scale_extraction,"log(abs(c*x)) -> log(abs(c)) + log(abs(x)), c != 0; log(abs(x*y)) -> log(abs(x)) + log(abs(y))",Splitting log(abs(C*x0)) folds B and C into P=B-log(abs(C)); splitting log(abs(D*(x0*x1))) folds D into Q=log(abs(D)); 4->3. No sound 3->2 path found.,Rank target 2 still unexplained; likely stronger non-local transformation or rank artifact.,done,019dac49-7093-79d0-b9d2-e5cc81d79875,needs_many_params_or_rank_artifact,shared_parameter_or_rank_artifact,"No rank-reducing rewrite proposed. A syntactic log(abs(k*(u*v))) exposure could make the numerator constant explicit, but it is only a 3-param-to-3-param normalization and overlaps log_abs_scale_extraction.","Let L0=log(abs(x0)), L1=log(abs(x1)), a=-2.377396411352944, e=-10.503285479940024-log(abs(0.14985143797609368))=-8.605174590777912, q=log(abs(1.4308910409656768)). Current rules already collect the denominator to e-L0. Exposing the numerator gives q+L0+L1, so the exponent is a*(q+L0+L1)/(e-L0). Rewriting L0=e-(e-L0) only yields exp(-a)*exp(a*(e+q+L1)/(e-L0)), still needing a, e, and e+q generically. No implemented orientation failure explains a 2-param form.","Assumes x0 and x1 are nonzero for log(abs(.)); constants multiplying abs are nonzero and positive here. Integer-valued -1.0 is structural, not a parameter; a, e, and q are non-integer constants.",The rank-2 label likely comes from shared-parameter/rank artifact or an external generator relation not visible syntactically. A broader quotient/factor or affine collection rule would not soundly remove q or e without an additional numeric relation.
pagie,110,GOMEA,21,original,GP-GOMEA,4.0,17.0,3.0,4.0,1.0,1.950389 - 1.108799 * (exp(exp(-6.234) - x0 * x0) + exp(exp(-24.872) - x1 * x1)),1.108799 * (1.7590104247929514 - 1.001963514999596 / exp(x0 * x0) - 1.0000000000157845 / exp(x1 * x1)),saturated,68.83775000460446,106.265625,2.0,22.0,new_rule_reduces_to_rank,exp_additive_constant_extraction,exp(c - x) -> exp(c) * exp(-x); exp(c + x) -> exp(c) * exp(x),"Fold exp(-6.234), exp(-24.872) to C,D; rewrite exp(C-X), exp(D-Y); factor exp(C) from the sum and combine B*exp(C), leaving A, B*exp(C), exp(D)/exp(C): 4->3.",Existing rules can finish after the new exp rule exposes constants.,done,019dac49-717b-7de0-88ce-cc22035c5b4d,new_rule_reduces_to_rank,quotient_coefficient_exposure,"Add a profitability-gated outer-scalar quotient exposure orientation: Num(a) * (Num(b) - Num(c) / u - Num(d) / v) -> Num(a*b) - Num(a*c) / u - Num(a*d) / v, with corresponding plus/operand-order variants, finite constants, and nonzero denominators.","Current rules already apply the implemented exp constant extraction: the row becomes B * (Q - C / exp(x0*x0) - D / exp(x1*x1)) with B=1.108799, Q=1.7590104247929514, C=1.001963514999596, D=1.0000000000157845. The missing orientation distributes/exposes the outer scalar into the three quotient/additive coefficients, and constant folding gives 1.950389 - 1.1109761434680372 / exp(x0*x0) - 1.1087990000175019 / exp(x1*x1), which has exactly three non-integer coefficients matching n_rank=3. The longer probe stayed at four params, so this is not just more iterations under current rules.","The rule is algebraically exact over reals when u and v are nonzero and the numeric literals are finite. In this row u=exp(x0*x0) and v=exp(x1*x1), so both denominators are strictly positive. No additional exp/log domain restriction is introduced.",No remaining rank gap is evident after this missing orientation; the previously proposed exp_additive_constant_extraction rule is already implemented and has already fired. The implementation should be guarded by ParamCost/profitability to avoid broad distributive expansion increasing search without reducing parameter count.
pagie,118,GOMEA,29,original,GP-GOMEA,4.0,19.0,3.0,4.0,1.0,2.072676 - 0.00052 * (exp(x1 + 8.426 - exp(x1)) + exp(8.611 + x0 - exp(x0))),0.00052 * (3985.915384615385 - exp(x1 + 8.426 - exp(x1)) - exp(8.611 + x0 - exp(x0))),saturated,69.33245901018381,104.03125,2.0,26.0,new_rule_reduces_to_rank,exp_additive_constant_extraction,k*(exp((u+c1)-v)+exp((w+c2)-z)) -> (k*exp(c1))*exp(u-v)+(k*exp(c2))*exp(w-z); include symmetric c+u/u+c forms,"Current rules stop at 4 params. Exp additive extraction gives 0.00052*exp(8.426)=2.37338748595467 and 0.00052*exp(8.611)=2.85570358866897, yielding 2.072676 - 2.37338748595467*exp(x1-exp(x1)) - 2.85570358866897*exp(x0-exp(x0)) with 3 params.","Plain exp(c+u)->exp(c)*exp(u) exposes constants, but reaching rank needs distribution/scalar absorption across the exp sum.",done,019dac49-7225-7e20-8db2-e77ff91950ad,new_rule_reduces_to_rank,exp_additive_constant_extraction,"For finite constants k,c1,c2 and terms u,v,w,z, rewrite k*(exp((u+c1)-v)+exp((w+c2)-z)) -> (k*exp(c1))*exp(u-v)+(k*exp(c2))*exp(w-z), with source/rendered sign variants such as A-k*(...) and k*(K-exp(...)-exp(...)); include (c+u)-v and reassociated additive forms.","The current rules include top-level exp constant extraction, but this row still saturates at 4 because the constants are embedded in exp((u+c)-v) forms and the shared 0.00052 scale remains outside the exp sum. The proposed scaled nested extraction gives 0.00052*exp(8.426)=2.37338748595467 and 0.00052*exp(8.611)=2.85570358866897, producing 2.072676 - 2.37338748595467*exp(x1-exp(x1)) - 2.85570358866897*exp(x0-exp(x0)), which has the target 3 non-integer parameters.",Exact over real inputs because exp(a+b)=exp(a)*exp(b) and exp is total and positive. Require finite f64 constants so exp(c) and folded products are finite; no new division or log-domain side condition is introduced.,Plain exp(x+c) extraction is not enough here unless rules also reassociate (u+c)-v and distribute or absorb the outer scalar across the exp sum. Add guarded sign/order variants rather than broad distributivity to avoid e-graph blowup.
kotanchek,21,Bingo,21,original,Bingo,4.0,20.0,3.0,4.0,1.0,2.0 * 0.17850583364543127 * ((x0 + exp(x0)) * (-1.0 * 0.17850583364543127 * (x0 * exp(x0)) + exp(2.0 * 0.17850583364543127 * (x0 + exp(x0))) - log(abs(2.0 * 0.17850583364543127 * (x0 + exp(x0))))) ** (-1.0)),0.35701166729086253 * ((x0 + exp(x0)) * (-0.17850583364543127 * (x0 * exp(x0)) + exp(0.35701166729086253 * (x0 + exp(x0))) - (-1.0299868162495163 + log(abs(x0 + exp(x0))))) ** (-1.0)),saturated,83.5239160223864,110.3125,2.0,95.0,new_rule_reduces_to_rank,quotient_coefficient_exposure,"a*(x*((b*y+e)-l))**-1 -> (x*(y/(a/b)+(e-l)/a))**-1 when a,b are nonzero and a/b is integer-cost/profitable","Current rules fold 2*c to A and -c separately, leaving 4 counted floats. Scaling the reciprocal denominator by A preserves the integer ratio A/c=2, yielding a form with A reused and -2.0 as integer-cost, reducing to 3 counted params.","Needs profitability guard; folding to -0.5*y would still count as a parameter, so the integer ratio orientation matters.",done,019dac49-72b8-71c0-a56a-3c816c29153e,new_rule_reduces_to_rank,quotient_coefficient_exposure,"a*((u*(b*y+r))**-1) -> (u*(y/(a/b)+r/a))**-1, with a != 0, b != 0, denominator nonzero, and a/b integer-valued or otherwise ParamCost-profitable; include explicit-division and commuted/signed variants such as a/(u*(b*y+r)).","Current rules expose A=0.35701166729086253 from 2*c and extract log(abs(A*u)) to log(abs(u))+log(abs(A)), but the extracted form still counts four floats: A outside, b=-0.17850583364543127, A in exp(A*u), and C=1.0299868162495163. Longer current-rule probing also stays at 4, so this is not an iteration-budget miss. Dividing the reciprocal denominator by the outer A gives 1/(u*(y/-2.0+(exp(A*u)+C-log(abs(u)))/A)); under the current cost model this has three counted floats: A in exp, A as the divisor for the residual term, and C. The ratio A/b is exactly -2.0, integer-cost, so the b coefficient is eliminated without introducing a new counted float.","The rewrite is algebraically just a/(u*D)=1/(u*(D/a)); it requires a and the original denominator to be nonzero. The row's log(abs(u)) side condition already requires u != 0. The implementation must preserve the integer-ratio orientation y/(a/b); rewriting it as (b/a)*y would produce -0.5*y, which is a counted non-integer float and would not reduce the rank count.","No row-local algebraic gap remains if the quotient-coefficient exposure rule matches this reciprocal-power shape. The current pipeline has quotient exposure rules, but they target explicit shared-factor quotients like (z*x)/(z*y+w), not an outer scalar multiplied by (u*denom)**-1, so the added family is present but does not cover this pattern yet."
kotanchek,114,GOMEA,25,original,GP-GOMEA,4.0,26.0,3.0,4.0,1.0,0.010559 + 0.013455 * ((4.203 - x1 + exp(-3.785)) * (x1 * x1 + (x1 + x1)) * exp(x0 + x0 - x0 * x0)),0.010559 + 0.013455 * ((4.203 - x1 + 0.022708862776731332) * (x1 * x1 + (x1 + x1)) * exp(x0 + x0 - x0 * x0)),saturated,216.42345801228657,110.96875,2.0,86.0,new_rule_reduces_to_rank,affine_constant_collection,"rewrite((a - x) + b).to((a + b) - x) for a=Num(af), b=Num(bf); optional symmetric b + (a - x)","Existing rules fold exp(-3.785) to 0.022708862776731332 but leave (4.203 - x1) + 0.022708862776731332. Collecting constants gives 4.225708862776731 - x1, reducing to constants 0.010559, 0.013455, 4.225708862776731: 4->3.",Current larger probes stay at 4; proposed local rule reaches n_rank=3.,done,019dac49-73e7-7571-ad88-ecf547928640,new_rule_reduces_to_rank,affine_constant_collection,"Add the missing unscaled left-subtraction orientation: rewrite((a - x) + b).to((a + b) - x) and rewrite(b + (a - x)).to((a + b) - x) for numeric literals a=Num(af), b=Num(bf).","The current pipeline already folds exp(-3.785) to 0.022708862776731332, leaving 0.010559 + 0.013455 * (((4.203 - x1) + 0.022708862776731332) * P * E). Collecting the two additive constants gives 4.225708862776732 - x1, so the only non-integer float parameters are 0.010559, 0.013455, and 4.225708862776732. That matches n_rank=3 instead of the current 4.","This is not a genuinely new algebraic family. Current extra rules include affine constant collection across scalar boundaries, such as a*(x+b)+y, a*(x-b)+y, and a*x+y, but they do not cover the unscaled orientation (a - x) + b as rendered here. The rewrite is valid over reals and has no division or positivity side condition; it only relies on additive associativity and constant folding.","A current pipeline run still extracts 4 params and renders 4.203 - x1 + 0.022708862776731332, so this is not solved by more of the already implemented exp/quotient/log_abs/square extras. The remaining gap is the missing affine orientation above; once applied, no further rank-reducing rule is needed for this row."
pagie,167,SBP,17,original,SBP,4.0,27.0,3.0,4.0,1.0,-0.065845 - 0.048266 * (x0 - (x1 + x1) - (x1 + (x1 + (x1 + (3.579 - x0) * ((3.247 - x0) * x0)) - x1 * x1))),-0.065845 - 0.048266 * (x0 - x1 - x1 - x1 - (x1 + (x1 + (3.579 - x0) * ((3.247 - x0) * x0)) - x1 * x1)),saturated,112.27466698619536,107.15625,2.0,387.0,needs_many_params_or_rank_artifact,no_rank_reducing_rule,none reducing params; polynomial expansion/collection only simplifies shape,"Expanding (p-x0)*((q-x0)*x0) gives constants c,k,p+q,p*q. These remain four independent degrees; derivative directions are generically independent.","Current rules flatten syntax only; rank 3 likely numerical/local rank or counting convention, not globally valid rewrite.",done,seeded_from_legacy,needs_many_params_or_rank_artifact,no_rank_reducing_rule,none reducing params; polynomial expansion/collection only simplifies shape,"Expanding (p-x0)*((q-x0)*x0) gives constants c,k,p+q,p*q. These remain four independent degrees; derivative directions are generically independent.",Polynomial identities are domain-safe over reals.,"Current rules flatten syntax only; rank 3 likely numerical/local rank or counting convention, not globally valid rewrite."
pagie,171,SBP,21,original,SBP,4.0,31.0,2.0,4.0,2.0,0.028119 + 0.006351 * exp(x0 + x0 - x0 * x0 - (x1 + x0 + (-4.674 - x0)) * (x0 - x1 * -0.703 - x0)),0.028119 + 0.006351 * exp(x0 + x0 - x0 * x0 - (x1 + x0 + (-4.674 - x0)) * (x0 + 0.703 * x1 - x0)),saturated,75.55375000811182,108.09375,2.0,53.0,needs_many_params_or_rank_artifact,no_rank_reducing_rule,No param-reducing rewrite proposed; optional node-only affine cancellation: (x + y) - x -> y and (x + y) + (a - y) -> x + a.,"Affine cancellation simplifies exponent to 2*x0 - x0^2 - 0.703*x1^2 + 3.285822*x1, but still has outer 0.028119 and 0.006351 plus two independent x1-shape constants (0.703 and 4.674, or 0.703 and 3.285822).",n_rank=2 does not look reachable by sound structural rewrites under current ParamCost; likely rank/counting artifact or genuinely four-parameter form.,done,seeded_from_legacy,needs_many_params_or_rank_artifact,no_rank_reducing_rule,No param-reducing rewrite proposed; optional node-only affine cancellation: (x + y) - x -> y and (x + y) + (a - y) -> x + a.,"Affine cancellation simplifies exponent to 2*x0 - x0^2 - 0.703*x1^2 + 3.285822*x1, but still has outer 0.028119 and 0.006351 plus two independent x1-shape constants (0.703 and 4.674, or 0.703 and 3.285822).",Additive cancellations are unconditional over reals; exp is total. There is no pure additive exponent constant to absorb into 0.006351 without preserving an equivalent shape constant.,n_rank=2 does not look reachable by sound structural rewrites under current ParamCost; likely rank/counting artifact or genuinely four-parameter form.
pagie,171,SBP,21,sympy,SBP,4.0,35.0,2.0,4.0,2.0,0.006351 * exp(-1.0 * x0 ** 2.0 + 2.0 * x0 - 0.703 * x1 ** 2.0 + 3.285822 * x1) + 0.028119,0.006351 * exp(2.0 * x0 - x0 ** 2.0 + -0.703 * x1 ** 2.0 + 3.285822 * x1) + 0.028119,saturated,891.9389579968993,134.765625,2.0,4890.0,needs_many_params_or_rank_artifact,no_rank_reducing_rule,none,"Completing the square gives B*exp(-(x0-1)^2 - 0.703*(x1-2.337)^2) + 0.028119 with B=0.006351*exp(4.839483007), still four non-integer constants B, 0.703, 2.337, 0.028119. Comparing quadratic log coefficients shows these are generically identifiable.",n_rank=2 appears to be rank/metric artifact rather than reachable by sound rewrite.,done,seeded_from_legacy,needs_many_params_or_rank_artifact,no_rank_reducing_rule,none,"Completing the square gives B*exp(-(x0-1)^2 - 0.703*(x1-2.337)^2) + 0.028119 with B=0.006351*exp(4.839483007), still four non-integer constants B, 0.703, 2.337, 0.028119. Comparing quadratic log coefficients shows these are generically identifiable.","Real x0,x1; exp total; A=0.006351 nonzero and 0.703>0. Exp absorption/completing-square are safe but do not lower count.",n_rank=2 appears to be rank/metric artifact rather than reachable by sound rewrite.
pagie,175,SBP,25,sympy,SBP,4.0,36.0,2.0,4.0,2.0,(0.00540440450573385 * x1 ** 2.0 * (x1 - 6.944) * (x1 - 4.3) * exp(x0) + 0.015024 * exp(x0 * (x0 - 1.0))) * exp(x0 * (1.0 - x0)),0.015024 + exp(x0 * (1.0 - x0) + x0) * (0.00540440450573385 * x1 ** 2.0 * (x1 + -6.944) * (x1 + -4.3)),saturated,206.5984579967335,117.625,2.0,664.0,needs_many_params_or_rank_artifact,exp_product_or_quotient_normalization,none reducing params; exp(u)*exp(v)->exp(u+v) with distribution only gives shape simplification,"Let A=0.00540440450573385, B=0.015024, c=6.944, d=4.3, q=x0*(x0-1), r=x0*(1-x0)=-q. Then E=(A*x1^2*(x1-c)*(x1-d)*exp(x0)+B*exp(q))*exp(r)=B+A*x1^2*(x1-c)*(x1-d)*exp(2*x0-x0^2), still A,B,c,d = 4 params.",Rank target 2 is not explained by globally sound rewrite; likely finite-data/numerical rank or counting artifact.,done,seeded_from_legacy,needs_many_params_or_rank_artifact,exp_product_or_quotient_normalization,none reducing params; exp(u)*exp(v)->exp(u+v) with distribution only gives shape simplification,"Let A=0.00540440450573385, B=0.015024, c=6.944, d=4.3, q=x0*(x0-1), r=x0*(1-x0)=-q. Then E=(A*x1^2*(x1-c)*(x1-d)*exp(x0)+B*exp(q))*exp(r)=B+A*x1^2*(x1-c)*(x1-d)*exp(2*x0-x0^2), still A,B,c,d = 4 params.",exp(q)*exp(-q)=1 is safe over reals; no log/division/sqrt restrictions. Polynomial factor has genuine 3-param freedom when A!=0 and c!=d; B is independent offset.,Rank target 2 is not explained by globally sound rewrite; likely finite-data/numerical rank or counting artifact.
