dataset,raw_index,algorithm_raw,algo_row,input_kind,algorithm,source_orig_parsed_expr,source_orig_parsed_n_params,source_before_nodes,n_rank,baseline_after_params,baseline_rank_gap,baseline_rendered,probe_mode,probe_max_passes,probe_inner_limit,probe_match_limit,probe_ban_length,probe_scheduler,probe_status,probe_runtime_ms,probe_peak_rss_mb,probe_passes,probe_total_size,probe_after_params,probe_rank_gap,probe_after_nodes,probe_rendered,probe_error,param_delta,rank_gap_delta,improved,reached_rank
pagie,25,Bingo,25,sympy,Bingo,exp(2.377396411352944 * (log(x0 * x1) + 0.3582973557925481) / (log(x0) + 8.605174590777912)),3.0,18.0,2.0,3.0,1.0,exp(2.377396411352944 * (log(x0 * x1) + 0.3582973557925481) / (log(x0) + 8.605174590777912)),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,29.037333006272092,110.671875,1.0,28.0,3.0,1.0,14.0,exp(2.377396411352944 * (log(x0 * x1) + 0.3582973557925481) / (log(x0) + 8.605174590777912)),na,0.0,0.0,False,False
pagie,25,Bingo,25,original,Bingo,exp(-2.377396411352944 * ((-10.503285479940024 - log(abs(0.14985143797609368 * x0))) ** (-1.0) * log(abs(1.4308910409656768 * (x0 * x1))))),4.0,16.0,2.0,3.0,1.0,exp(-2.377396411352944 * ((-8.605174590777912 - log(abs(x0))) ** (-1.0) * log(abs(1.4308910409656768 * (x0 * x1))))),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,51.35987501125783,110.21875,2.0,51.0,3.0,1.0,18.0,exp(-2.377396411352944 * ((-8.605174590777912 - log(abs(x0))) ** (-1.0) * log(abs(1.4308910409656768 * (x0 * x1))))),na,0.0,0.0,False,False
pagie,110,GOMEA,21,original,GP-GOMEA,1.950389 - 1.108799 * (exp(exp(-6.234) - x0 * x0) + exp(exp(-24.872) - x1 * x1)),4.0,17.0,3.0,4.0,1.0,1.108799 * (1.7590104247929514 - 1.001963514999596 / exp(x0 * x0) - 1.0000000000157845 / exp(x1 * x1)),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,47.184376016957685,110.78125,2.0,22.0,4.0,1.0,17.0,1.108799 * (1.7590104247929514 - 1.001963514999596 / exp(x0 * x0) - 1.0000000000157845 / exp(x1 * x1)),na,0.0,0.0,False,False
pagie,118,GOMEA,29,original,GP-GOMEA,2.072676 - 0.00052 * (exp(x1 + 8.426 - exp(x1)) + exp(8.611 + x0 - exp(x0))),4.0,19.0,3.0,4.0,1.0,0.00052 * (3985.915384615385 - exp(x1 + 8.426 - exp(x1)) - exp(8.611 + x0 - exp(x0))),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,63.134249969152734,111.1875,2.0,26.0,4.0,1.0,19.0,0.00052 * (3985.915384615385 - exp(x1 + 8.426 - exp(x1)) - exp(8.611 + x0 - exp(x0))),na,0.0,0.0,False,False
kotanchek,21,Bingo,21,original,Bingo,2.0 * 0.17850583364543127 * ((x0 + exp(x0)) * (-1.0 * 0.17850583364543127 * (x0 * exp(x0)) + exp(2.0 * 0.17850583364543127 * (x0 + exp(x0))) - log(abs(2.0 * 0.17850583364543127 * (x0 + exp(x0))))) ** (-1.0)),4.0,20.0,3.0,4.0,1.0,0.35701166729086253 * ((x0 + exp(x0)) * (-0.17850583364543127 * (x0 * exp(x0)) + exp(0.35701166729086253 * (x0 + exp(x0))) - (-1.0299868162495163 + log(abs(x0 + exp(x0))))) ** (-1.0)),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,104.46529093314894,110.9375,3.0,95.0,4.0,1.0,32.0,0.35701166729086253 * ((x0 + exp(x0)) * (-0.17850583364543127 * (x0 * exp(x0)) + exp(0.35701166729086253 * (x0 + exp(x0))) - (-1.0299868162495163 + log(abs(x0 + exp(x0))))) ** (-1.0)),na,0.0,0.0,False,False
kotanchek,114,GOMEA,25,original,GP-GOMEA,0.010559 + 0.013455 * ((4.203 - x1 + exp(-3.785)) * (x1 * x1 + (x1 + x1)) * exp(x0 + x0 - x0 * x0)),4.0,26.0,3.0,4.0,1.0,0.010559 + 0.013455 * ((4.203 - x1 + 0.022708862776731332) * (x1 * x1 + (x1 + x1)) * exp(x0 + x0 - x0 * x0)),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,68.2300420012325,111.25,2.0,86.0,4.0,1.0,26.0,0.010559 + 0.013455 * ((4.203 - x1 + 0.022708862776731332) * (x1 * x1 + (x1 + x1)) * exp(x0 + x0 - x0 * x0)),na,0.0,0.0,False,False
pagie,167,SBP,17,original,SBP,-0.065845 - 0.048266 * (x0 - (x1 + x1) - (x1 + (x1 + (x1 + (3.579 - x0) * ((3.247 - x0) * x0)) - x1 * x1))),4.0,27.0,3.0,4.0,1.0,-0.065845 - 0.048266 * (x0 - x1 - x1 - x1 - (x1 + (x1 + (3.579 - x0) * ((3.247 - x0) * x0)) - x1 * x1)),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,216.7965419939719,111.890625,2.0,387.0,4.0,1.0,29.0,-0.065845 - 0.048266 * (x0 - x1 - x1 - x1 - (x1 + (x1 + (3.579 - x0) * ((3.247 - x0) * x0)) - x1 * x1)),na,0.0,0.0,False,False
pagie,171,SBP,21,original,SBP,0.028119 + 0.006351 * exp(x0 + x0 - x0 * x0 - (x1 + x0 + (-4.674 - x0)) * (x0 - x1 * -0.703 - x0)),4.0,31.0,2.0,4.0,2.0,0.028119 + 0.006351 * exp(x0 + x0 - x0 * x0 - (x1 + x0 + (-4.674 - x0)) * (x0 + 0.703 * x1 - x0)),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,100.85825101123191,111.234375,2.0,53.0,4.0,2.0,28.0,0.028119 + 0.006351 * exp(x0 + x0 - x0 * x0 - (x1 + x0 + (-4.674 - x0)) * (x0 + 0.703 * x1 - x0)),na,0.0,0.0,False,False
pagie,171,SBP,21,sympy,SBP,0.006351 * exp(-1.0 * x0 ** 2.0 + 2.0 * x0 - 0.703 * x1 ** 2.0 + 3.285822 * x1) + 0.028119,4.0,35.0,2.0,4.0,2.0,0.006351 * exp(2.0 * x0 - x0 ** 2.0 + -0.703 * x1 ** 2.0 + 3.285822 * x1) + 0.028119,long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,111983.89600004884,1010.109375,2.0,195559.0,4.0,2.0,22.0,0.006351 * exp(2.0 * x0 - x0 ** 2.0 + -0.703 * x1 ** 2.0 + 3.285822 * x1) + 0.028119,na,0.0,0.0,False,False
pagie,175,SBP,25,sympy,SBP,(0.00540440450573385 * x1 ** 2.0 * (x1 - 6.944) * (x1 - 4.3) * exp(x0) + 0.015024 * exp(x0 * (x0 - 1.0))) * exp(x0 * (1.0 - x0)),4.0,36.0,2.0,4.0,2.0,(0.00540440450573385 * x1 ** 2.0 * (x1 + -6.944) * (x1 + -4.3) * exp(x0) + 0.015024 * exp(x0 * (x0 + -1.0))) * exp(x0 * (1.0 - x0)),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,1555.6119580287486,160.953125,2.0,8856.0,4.0,2.0,32.0,(0.00540440450573385 * x1 ** 2.0 * (x1 + -6.944) * (x1 + -4.3) * exp(x0) + 0.015024 * exp(x0 * (x0 + -1.0))) * exp(x0 * (1.0 - x0)),na,0.0,0.0,False,False
